RDATE,X1
1/1/2012,59.8
1/2/2012,62
1/3/2012,62
1/4/2012,63.4
1/5/2012,55.4
1/6/2012,54.8
1/7/2012,55
1/8/2012,58.6
1/9/2012,57.6
1/10/2012,58.8
1/11/2012,60.8
1/12/2012,65
1/13/2012,62.8
1/14/2012,62.8
1/15/2012,62.2
1/16/2012,64.6
1/17/2012,66
1/18/2012,62.8
1/19/2012,63
1/20/2012,67.2
1/21/2012,71.8
1/22/2012,66.4
1/23/2012,63.2
1/24/2012,64.2
1/25/2012,67.8
1/26/2012,69
1/27/2012,69.2
1/28/2012,70.2
1/29/2012,71.8
1/30/2012,67
1/31/2012,61
2/1/2012,55.4
2/2/2012,57.4
2/3/2012,60.2
2/4/2012,65.4
2/5/2012,71.8
2/6/2012,73
2/7/2012,79.6
2/8/2012,82.8
2/9/2012,84.8
2/10/2012,83.2
2/11/2012,81.8
2/12/2012,81.6
2/13/2012,75
2/14/2012,79.6
2/15/2012,85
2/16/2012,86
2/17/2012,75.8
2/18/2012,67.6
2/19/2012,69.2
2/20/2012,72
2/21/2012,75.2
2/22/2012,78.6
2/23/2012,77.4
2/24/2012,77.2
2/25/2012,80.2
2/26/2012,79
2/27/2012,77
2/28/2012,77.8
2/29/2012,78
3/1/2012,79.4
3/2/2012,78
3/3/2012,76.6
3/4/2012,75.2
3/5/2012,68.2
3/6/2012,65.4
3/7/2012,58.2
3/8/2012,68.8
3/9/2012,74
3/10/2012,78.8
3/11/2012,69.4
3/12/2012,64.4
3/13/2012,66
3/14/2012,69.2
3/15/2012,77.4
3/16/2012,81.8
3/17/2012,81.2
3/18/2012,77.4
3/19/2012,76.8
3/20/2012,76.8
3/21/2012,72.6
3/22/2012,69.2
3/23/2012,73.6
3/24/2012,79.2
3/25/2012,77.6
3/26/2012,78
3/27/2012,75.4
3/28/2012,66.4
3/29/2012,64.4
3/30/2012,65.4
3/31/2012,72.2
4/1/2012,76
4/2/2012,79
4/3/2012,79.6
4/4/2012,80.6
4/5/2012,85.2
4/6/2012,88.2
4/7/2012,71.6
4/8/2012,63.2
4/9/2012,66.8
4/10/2012,69
4/11/2012,71.4
4/12/2012,75.8
4/13/2012,74.8
4/14/2012,73.2
4/15/2012,78.8
4/16/2012,82.4
4/17/2012,85.6
4/18/2012,87
4/19/2012,87.6
4/20/2012,86.8
4/21/2012,82.8
4/22/2012,77
4/23/2012,76.8
4/24/2012,76.4
4/25/2012,67.2
4/26/2012,71.8
4/27/2012,72.6
4/28/2012,69.2
4/29/2012,73.8
4/30/2012,70.2
5/1/2012,76.4
5/2/2012,78.6
5/3/2012,83
5/4/2012,79
5/5/2012,70.4
5/6/2012,67.4
5/7/2012,69.6
5/8/2012,72
5/9/2012,73.4
5/10/2012,77.2
5/11/2012,81.2
5/12/2012,84.8
5/13/2012,84.6
5/14/2012,79.6
5/15/2012,75
5/16/2012,77.6
5/17/2012,78.2
5/18/2012,81
5/19/2012,80.6
5/20/2012,72.8
5/21/2012,71.2
5/22/2012,74.8
5/23/2012,74.8
5/24/2012,71.4
5/25/2012,71.8
5/26/2012,77.2
5/27/2012,80.8
5/28/2012,80
5/29/2012,77.8
5/30/2012,82.4
5/31/2012,85
6/1/2012,86
6/2/2012,89.6
6/3/2012,95
6/4/2012,91.2
6/5/2012,87
6/6/2012,86.4
6/7/2012,86.8
6/8/2012,88.2
6/9/2012,84.2
6/10/2012,85.2
6/11/2012,78.2
6/12/2012,78.4
6/13/2012,79.8
6/14/2012,80.8
6/15/2012,78.2
6/16/2012,81.4
6/17/2012,88.4
6/18/2012,93.4
6/19/2012,102.6
6/20/2012,106
6/21/2012,96.4
6/22/2012,92.8
6/23/2012,90.4
6/24/2012,88.6
6/25/2012,91.2
6/26/2012,94.2
6/27/2012,96.2
6/28/2012,94
6/29/2012,95
6/30/2012,92.2
7/1/2012,89.4
7/2/2012,89.6
7/3/2012,87
7/4/2012,87.4
7/5/2012,87.8
7/6/2012,87.2
7/7/2012,88.4
7/8/2012,89.8
7/9/2012,91.2
7/10/2012,90
7/11/2012,90
7/12/2012,88.4
7/13/2012,92
7/14/2012,92.2
7/15/2012,92.2
7/16/2012,89.6
7/17/2012,89.8
7/18/2012,90.4
7/19/2012,92.4
7/20/2012,96.2
7/21/2012,99
7/22/2012,101
7/23/2012,100.6
7/24/2012,95.4
7/25/2012,95.2
7/26/2012,96
7/27/2012,96.8
7/28/2012,96.6
7/29/2012,97.4
7/30/2012,91.6
7/31/2012,92.4
8/1/2012,91.8
8/2/2012,92.4
8/3/2012,91.8
8/4/2012,92.2
8/5/2012,90.4
8/6/2012,89.8
8/7/2012,91
8/8/2012,91.2
8/9/2012,87.8
8/10/2012,89
8/11/2012,89.2
8/12/2012,89.4
8/13/2012,95.2
8/14/2012,96.2
8/15/2012,97.2
8/16/2012,95.8
8/17/2012,93.6
8/18/2012,92
8/19/2012,90.2
8/20/2012,87.8
8/21/2012,88.8
8/22/2012,89.8
8/23/2012,89.8
8/24/2012,90.8
8/25/2012,88.8
8/26/2012,86
8/27/2012,86
8/28/2012,91
8/29/2012,95.2
8/30/2012,96.8
8/31/2012,93.2
9/1/2012,90.8
9/2/2012,88
9/3/2012,84.4
9/4/2012,80.8
9/5/2012,81.6
9/6/2012,86.2
9/7/2012,87.4
9/8/2012,86.4
9/9/2012,88.4
9/10/2012,90.8
9/11/2012,88.2
9/12/2012,81.4
9/13/2012,73.8
9/14/2012,79.6
9/15/2012,84.8
9/16/2012,85.8
9/17/2012,89.4
9/18/2012,93.2
9/19/2012,90.6
9/20/2012,85
9/21/2012,84.6
9/22/2012,79.6
9/23/2012,80.2
9/24/2012,90
9/25/2012,94.8
9/26/2012,99.4
9/27/2012,92.6
9/28/2012,90.2
9/29/2012,90.8
9/30/2012,90.2
10/1/2012,86
10/2/2012,81.2
10/3/2012,76.4
10/4/2012,79.4
10/5/2012,77
10/6/2012,82.8
10/7/2012,88.8
10/8/2012,89.6
10/9/2012,89.4
10/10/2012,85.4
10/11/2012,78.6
10/12/2012,77.8
10/13/2012,81
10/14/2012,79.8
10/15/2012,79.4
10/16/2012,76.8
10/17/2012,73.8
10/18/2012,76.4
10/19/2012,87.2
10/20/2012,91.8
10/21/2012,90.8
10/22/2012,86.6
10/23/2012,80
10/24/2012,73.8
10/25/2012,77.2
10/26/2012,80.2
10/27/2012,81.2
10/28/2012,76
10/29/2012,81.6
10/30/2012,72.8
10/31/2012,69.8
11/1/2012,69.4
11/2/2012,77.4
11/3/2012,85.4
11/4/2012,82.6
11/5/2012,81.2
11/6/2012,78.4
11/7/2012,80
11/8/2012,87.2
11/9/2012,89.4
11/10/2012,86.6
11/11/2012,85
11/12/2012,81.2
11/13/2012,84.4
11/14/2012,85.2
11/15/2012,80.4
11/16/2012,69.6
11/17/2012,69.2
11/18/2012,73.4
11/19/2012,71
11/20/2012,67.4
11/21/2012,65.4
11/22/2012,68
11/23/2012,69.8
11/24/2012,74.8
11/25/2012,72.4
11/26/2012,61.8
11/27/2012,60.4
11/28/2012,61.4
11/29/2012,65.4
11/30/2012,64.6
12/1/2012,63
12/2/2012,62
12/3/2012,65.8
12/4/2012,70.6
12/5/2012,66.2
12/6/2012,61.8
12/7/2012,62
12/8/2012,66
12/9/2012,65.8
12/10/2012,67
12/11/2012,67.4
12/12/2012,67.4
12/13/2012,68.4
12/14/2012,71.4
12/15/2012,67.2
12/16/2012,64
12/17/2012,57.8
12/18/2012,61.2
12/19/2012,65.4
12/20/2012,71.2
12/21/2012,63.6
12/22/2012,59.4
12/23/2012,60
12/24/2012,54.4
12/25/2012,54
12/26/2012,57.8
12/27/2012,65.2
12/28/2012,70.4
12/29/2012,73.4
12/30/2012,61.2
12/31/2012,57.2
1/1/2013,58.4
1/2/2013,55.4
1/3/2013,56.6
1/4/2013,60.4
1/5/2013,62.4
1/6/2013,61
1/7/2013,61.4
1/8/2013,70.2
1/9/2013,62.4
1/10/2013,59.6
1/11/2013,62.8
1/12/2013,56.2
1/13/2013,54.8
1/14/2013,66.6
1/15/2013,62.8
1/16/2013,63
1/17/2013,64.2
1/18/2013,60.6
1/19/2013,59.8
1/20/2013,57.4
1/21/2013,58.6
1/22/2013,55.6
1/23/2013,54
1/24/2013,54.6
1/25/2013,56.4
1/26/2013,58.6
1/27/2013,58.6
1/28/2013,67.8
1/29/2013,72.8
1/30/2013,74.2
1/31/2013,71.6
2/1/2013,69.6
2/2/2013,66.2
2/3/2013,63.4
2/4/2013,64.8
2/5/2013,61.4
2/6/2013,61.4
2/7/2013,66.2
2/8/2013,70.8
2/9/2013,74.6
2/10/2013,66.6
2/11/2013,64.2
2/12/2013,70.6
2/13/2013,74.2
2/14/2013,72.8
2/15/2013,75.2
2/16/2013,68.8
2/17/2013,60.8
2/18/2013,57.8
2/19/2013,60
2/20/2013,63.2
2/21/2013,66
2/22/2013,63
2/23/2013,58
2/24/2013,60
2/25/2013,62.4
2/26/2013,57.4
2/27/2013,55.6
2/28/2013,62
3/1/2013,69.2
3/2/2013,74.4
3/3/2013,77.2
3/4/2013,69
3/5/2013,62
3/6/2013,61.8
3/7/2013,70.8
3/8/2013,79.4
3/9/2013,82.4
3/10/2013,80.2
3/11/2013,82
3/12/2013,83
3/13/2013,84.6
3/14/2013,83.8
3/15/2013,83.6
3/16/2013,81.2
3/17/2013,80.6
3/18/2013,79
3/19/2013,80.2
3/20/2013,73.6
3/21/2013,70.4
3/22/2013,67.8
3/23/2013,68
3/24/2013,72.4
3/25/2013,69.6
3/26/2013,71.2
3/27/2013,70.6
3/28/2013,76.4
3/29/2013,82.4
3/30/2013,75.4
3/31/2013,72.8
4/1/2013,77.4
4/2/2013,78.4
4/3/2013,72.2
4/4/2013,76.8
4/5/2013,82.8
4/6/2013,78.4
4/7/2013,75
4/8/2013,69.8
4/9/2013,70.8
4/10/2013,77.6
4/11/2013,77
4/12/2013,77.2
4/13/2013,72.2
4/14/2013,70.8
4/15/2013,79.6
4/16/2013,79.2
4/17/2013,77.6
4/18/2013,78
4/19/2013,77.8
4/20/2013,79.6
4/21/2013,87.6
4/22/2013,89.4
4/23/2013,83
4/24/2013,73.4
4/25/2013,74.2
4/26/2013,77.8
4/27/2013,79.8
4/28/2013,81.4
4/29/2013,81.8
4/30/2013,85.8
5/1/2013,87.8
5/2/2013,88.2
5/3/2013,88.6
5/4/2013,87.6
5/5/2013,81.6
5/6/2013,68.6
5/7/2013,63.8
5/8/2013,75.4
5/9/2013,74.2
5/10/2013,71
5/11/2013,78.2
5/12/2013,79.8
5/13/2013,76.6
5/14/2013,75.4
5/15/2013,67.2
5/16/2013,70.2
5/17/2013,68.8
5/18/2013,78.6
5/19/2013,85.6
5/20/2013,92.4
5/21/2013,90.6
5/22/2013,89.2
5/23/2013,90.2
5/24/2013,85.2
5/25/2013,74.4
5/26/2013,74.6
5/27/2013,79.6
5/28/2013,86
5/29/2013,84.6
5/30/2013,83.2
5/31/2013,75.4
6/1/2013,80.2
6/2/2013,87.2
6/3/2013,89
6/4/2013,86.2
6/5/2013,87.6
