DATE,HE,CLOAD
1/1/2012,1,7458.280255
1/1/2012,2,7214.649682
1/1/2012,3,7018.789809
1/1/2012,4,6912.420382
1/1/2012,5,6913.057325
1/1/2012,6,7039.808917
1/1/2012,7,7202.547771
1/1/2012,8,7235.987261
1/1/2012,9,7249.681529
1/1/2012,10,7307.961783
1/1/2012,11,7350.636943
1/1/2012,12,7227.070064
1/1/2012,13,7114.649682
1/1/2012,14,7019.10828
1/1/2012,15,7051.910828
1/1/2012,16,7051.273885
1/1/2012,17,7351.910828
1/1/2012,18,8380.254777
1/1/2012,19,8648.726115
1/1/2012,20,8591.401274
1/1/2012,21,8457.961783
1/1/2012,22,8189.490446
1/1/2012,23,7814.649682
1/1/2012,24,7419.10828
